restaurant	Restaurant	restaurang	restaurant	restaurant	restaurante	restaurante	ristorante	ресторан	restauracja	εστιατόριο	estiatório	étterem	ravintola	餐厅	식당	レストラン	nhà hàng	餐馆	caan1 gun2	饭馆	pn̄g-kuán	مطعم	mat'am	रेस्तरां	restaraan	bialann	bee-al-un	bwyty	ресторан	restoran	ئاشخانا	ashxana	ร้านอาหาร	ráan āa-hǎan 	mgahawa	restoran	ddaʼaniih góneʼ	dah-ah-neeh go-nay
farm	Bauernhof	bondgård	boerderij	ferme	granja	fazenda	fattoria	ферма	farma	αγρόκτημα	agróktima	farm	maatila	农场	농장	农场	trang trại	农场	nung4 coeng4	农场	long7-tiunn5	مزرعة	mazra'a	खेत	khet	feirm	fer-im	fferm	ферм	çiftlik	فېرمى	fermi	ฟาร์ม	fāam 	shamba	pertanian	dáʼákʼeh	dah-ah-keh
court	Gericht	domstol	rechtbank	tribunal	tribunal	tribunal	tribunale	суд	sąd	δικαστήριο	dikastírio	bíróság	oikeus	法院	법원	裁判所	tòa án	法院	faat3 jyun2	法院	huat4-i7	محكمة	mahkama	अदालत	adaalat	cúirt	koort	llys	шүүх	mahkeme	سوت	sot	ศาล	sǎan 	mahakama	pengadilan	áhootʼiʼ góneʼ	ah-hoot-ee go-nay
school	Schule	skola	school	école	escuela	escola	scuola	школа	szkoła	σχολείο	scholeío	iskola	koulu	学校	학교	学校	trường học	学校	hok6 haau6	学校	hak8-hau7	مدرسة	madrasa	स्कूल	school	scoil	skull	ysgol	сургууль	okul	مەكتەپ	mektep	โรงเรียน	rōng rīan 	shule	sekolah	óltaʼ	ol-tah
office	Büro	kontor	kantoor	bureau	oficina	escritório	ufficio	офис	biuro	γραφείο	grafeío	iroda	toimisto	办公室	사무실	事务所	văn phòng	写字楼	se2 zi6 lau4	办公室	pan7-kong1-sit4	مكتب	maktab	दफ़्तर	daftar	oifig	if-ig	swyddfa	оффис	ofis	ئىشخانا	ishxana	สำนักงาน	sǎm-nák ngāan 	ofisi	kantor	naanish góneʼ	nah-nish go-nay
room	Zimmer	rum	kamer	chambre	habitación	quarto	stanza	комната	pokój	δωμάτιο	domátio	szoba	huone	房间	방	部屋	phòng	房	fong4	房	pang5	غرفة	ghurfa	कमरा	kamra	seomra	shyum-ra	ystafell	өрөө	oda	ئۆي	öy	ห้อง	hông 	chumba	kamar	góneʼ	go-nay
university	Universität	universitet	universiteit	université	universidad	universidade	università	университет	uniwersytet	πανεπιστήμιο	panepistímio	egyetem	yliopisto	大学	대학교	大学	đại học	大学	daai6 hok6	大学	tai7-hak8	جامعة	jami'a	विश्वविद्यालय	vishvavidyaalay	ollscoil	ull-skull	prifysgol	их сургууль	üniversite	ئۇنىۋېرسىتېت	uniwérsitét	มหาวิทยาลัย	má-hǎa-wít-thá-yāa-lāi 	chuo kikuu	universitas	íhoolʼaah bá hazʼą́	ee-hool-ah bah haz-ahn
park	Park	park	park	parc	parque	parque	parco	парк	park	πάρκο	párko	park	puisto	公园	공원	公园	công viên	公园	gung1 jyun2	公园	kong1-huan5	حديقة	hadiqa	पार्क	park	páirc	paw-irk	parc	цэцэрлэгт хүрээлэн	park	باغچا	baghcha	สวนสาธารณะ	sǔan sǎa-thāa-rá-ná 	bustani	taman	chʼil dbitáʼí	chil bee-tah-ee
shop	Geschäft	butik / affär	winkel	magasin	tienda	loja	negozio	магазин	sklep	κατάστημα	katástima	bolt	kauppa	商店	상점	店	cửa hàng	铺头	pou3 tau2	店	tiam7	محل	mahall	दुकान	dukaan	siopa	shyuppa	siop	дэлгүүр	dükkan	دۇكان	dukan	ร้านค้า	ráan khâa 	duka	toko	naalyéhé bá hooghan	nahl-yay-hay bah hoo-ghan
theater	Theater	teater	theater	théâtre	teatro	teatro	teatro	театр	teatr	θέατρο	théatro	színház	teatteri	剧院	극장	剧场	nhà hát	戏院	hei3 jyun2	戏园	hi3-huan5	مسرح	masrah	सिनेमाघर	cinemaghar	amharclann	ow-ur-klon	theatr	театр	tiyatro	تىياتىرخانا	tiyatirxana	โรงละคร	rōng lá-khāwn 	ukumbi wa michezo	teater	nidaʼalkid góneʼ	ni-dah-al-kid go-nay
library	Bibliothek	bibliotek	bibliotheek	bibliothèque	biblioteca	biblioteca	biblioteca	библиотека	biblioteka	βιβλιοθήκη	vivliothíki	könyvtár	kirjasto	图书馆	도서관	図书馆	thư viện	图书馆	tou4 syu1 gun2	图书馆	too5-su1-kuan2	مكتبة	maktaba	पुस्तकालय	pustakaalay	leabharlann	lyow-ur-klon	llyfrgell	номын сан	kütüphane	كۇتۇپخانا	kutupxana	ห้องสมุด	hông sà-mùt 	maktaba	perpustakaan	naaltsoos bá hooghan	nahl-tsohs bah hoo-ghan
hospital	Krankenhaus	sjukhus	ziekenhuis	hôpital	hospital	hospital	ospedale	больница	szpital	νοσοκομείο	nosokomeío	kórház	sairaala	医院	병원	病院	bệnh viện	医院	ji1 jyun2	医院	i1-inn7	مستشفى	mustashfa	अस्पताल	aspataal	ospidéal	oss-pi-jay-ul	ysbyty	эмнэлэг	hastane	دوختۇرخانا	doxturxana	โรงพยาบาล	rōng phá-yāa-bāan 	hospitali	rumah sakit	azeeʼálʼį́	ah-zay-ahl-een
church	Kirche	kyrka	kerk	église	iglesia	igreja	chiesa	церковь	kościół	εκκλησία	ekklisía	templom	kirkko	教堂	교회	教会	nhà thờ	教堂	gaau3 tong4	礼拜堂	le2-pai7-tong5	كنيسة	kanisa	गिरजाघर	girajaaghar	eaglais	ag-lish	eglwys	сүм	kilise	چېركاۋ	chérkaw	โบสถ์	bòot 	kanisa	gereja	sodizin bá hooghan	so-di-zin bah hoo-ghan
market	Markt	marknad	markt	marché	mercado	mercado	mercato	рынок	rynek	αγορά	agorá	piac	tori	市场	시장	市场	chợ	街市	gaai1 si5	市场	tshi7-tiunn5	سوق	suq	बाज़ार	baazaar	margadh	mar-guh	marchnad	зах	pazar	بازار	bazar	ตลาด	tà-làat 	soko	pasar	naalyéhé	nahl-yay-hay
country	Land	land	land	pays	país	país	paese	страна	kraj	χώρα	chóra	ország	maa	国家	나라	国	quốc gia	国家	gwok3 gaa1	国家	kok4-ka1	بلد	balad	देश	desh	tír	teer	gwlad	улс	ülke	دۆلەت	dölet	ประเทศ	prà-thêet 	nchi	negara	kéyah	kay-yah
bank	Bank	bank	bank	banque	banco	banco	banca	банк	bank	τράπεζα	trápeza	bank	pankki	银行	은행	银行	ngân hàng	银行	ngan4 hong4	银行	gin5-hang5	بنك	bank	बैंक	bank	banc	bank	banc	банк	banka	بانكا	banka	ธนาคาร	thá-nāa-khāan 	benki	bank	béeso bá hooghan	bay-so bah hoo-ghan
coffee	Kaffee	kaffe	koffie	café	café	café	caffè	кофе	kawa	καφές	kafés	kávé	kahvi	咖啡	커피	コーヒー	cà phê	咖啡	gaa3 fe1	咖啡	ka1-pi1	قهوة	qahwa	कॉफ़ी	coffee	caifé	ka-fay	coffi	кофе	kahve	قەھۋە	qehwe	กาแฟ	kāa-fāe 	kahawa	kopi	gohwééh	go-hway
tea	Tee	te	thee	thé	té	chá	tè	чай	herbata	τσάι	tsái	tea	tee	茶	차	茶	trà	茶	caa4	茶	te5	شاي	shay	चाय	chaay	tae	tay	te	цай	çay	چاي	chay	ชา	chāa 	chai	teh	dééh	day
wine	Wein	vin	wijn	vin	vino	vinho	vino	вино	wino	κρασί	krasí	bor	viini	葡萄酒	와인	ワイン	rượu	酒	zau2	酒	tsiu2	نبيذ	nabiadh	शराब	sharaab	fíon	feen	gwin	дарс	şarap	شاراپ	sharap	ไวน์	wāi 	divai	anggur	chʼil naʼatłʼoʼii bitó	chil nah-at-lo-ee bee-toh
beer	Bier	öl	bier	bière	cerveza	cerveja	birra	пиво	piwo	μπύρα	býra	sör	olut	啤酒	맥주	ビール	bia	啤酒	be1 zau2	麦酒	beh8-tsiu2	بيرة	bira	बीयर	beer	beoir	byoh-ir	cwrw	шар айраг	bira	پىۋا	piwa	เบียร์	bīa 	bia	bir	biyah	bee-yah
juice	Saft	juice	sap	jus	zumo	suco	succo	сок	sok	χυμός	chymós	lé	mehu	果汁	주스	ジュース	nước ép	果汁	gwo2 zap1	果汁	koo2-tsap4	عصير	'asir	रस	ras	sú	soo	sudd	шүүс	meyve suyu	شەربەت	sherbet	น้ำผลไม้	náam phǒn-lá-māai 	juisi	jus	tsin bineestʼąʼ bitó	tsin bee-nayst-ahn bee-toh
water	Wasser	vatten	water	eau	agua	água	acqua	вода	woda	νερό	neró	víz	vesi	水	물	水	nước	水	seoi2	水	tsui2	ماء	ma'	पानी	paanee	uisce	ish-keh	dŵr	ус	su	سۇ	su	น้ำ	náam 	maji	air	tó	toh
milk	Milch	mjölk	melk	lait	leche	leite	latte	молоко	mleko	γάλα	gála	tej	maito	牛奶	우유	牛乳	sữa	牛奶	ngau4 naai5	牛奶	gu5-ni2	حليب	halib	दूध	doodh	bainne	bon-yeh	llaeth	сүү	süt	سۈت	süt	นม	nōm 	maziwa	susu	abeʼ	ah-bay
egg	Ei	ägg	ei	œuf	huevo	ovo	uovo	яйцо	jajko	αυγό	avgó	tojás	kananmuna	蛋	달걀	卵	trứng	蛋	daan2	卵	nn̄g7	بيضة	bayda	अंडा	anda	ubh	uv	ŵy	өндөг	yumurta	تۇخۇم	tuxum	ไข่	khài 	yai	telur	ayęęzhii	ah-yay-zhee
cheese	Käse	ost	kaas	fromage	queso	queijo	formaggio	сыр	ser	τυρί	tyrí	sajt	juusto	奶酪	치즈	チーズ	phô mai	芝士	zi1 si2	奶酪	nai7-lok8	جبن	jubn	पनीर	paneer	cáis	kawsh	caws	бяслаг	peynir	پىشلاق	pishlaq	ชีส	chíit 	jibini	keju	géeso	gay-so
bread	Brot	bröd	brood	pain	pan	pão	pane	хлеб	chleb	ψωμί	psomí	kenyér	leipä	面包	빵	パン	bánh mì	面包	min6 baau1	麭	phan1	خبز	khubz	रोटी / ब्रेड	rotee / bread	arán	ara-wn	bara	талх	ekmek	نان	nan	ขนมปัง	khà-nǒm pang 	mkate	roti	bááh	bah
soup	Suppe	soppa	soep	soupe	sopa	sopa	zuppa	суп	zupa	σούπα	soúpa	leves	keitto	汤	수프	スープ	súp	汤	tong1	汤	thng1	حساء	hasa'	सूप	soup	anraith	un-rah	cawl	шөл	çorba	شورپا	shorpa	ซุป	súp 	supu	sup	atoʼ	ah-toh
cake	Kuchen	tårta / kaka	taart	gâteau	pastel	bolo	torta	торт	ciasto	κέικ	kéik	sütemény	kakku	蛋糕	케이크	ケーキ	bánh ngọt	蛋糕	daan6 gou1	鸡卵糕	ke1-nn̄g7-ko1	كعكة	ka'ka	केक	cake	cáca	kaw-ka	cacen	бялуу	kek	تورت	tort	เค้ก	khéek 	keki	kue	bááh łikaní	bah tlee-kah-nee
chicken	Huhn	kyckling	kip	poulet	pollo	frango	pollo	курица	kurczak	κοτόπουλο	kotópoulo	csirke	kana	鸡	닭	鶏	gà	鸡	gai1	鸡	ke1	دجاج	dajaj	मुर्गा	murga	sicín	shik-een	cyw iâr	тахиа	tavuk	توخۇ	toxu	ไก่	kài 	kuku	ayam	naʼahóóhai	nah-ah-ho-high
pork	Schweinefleisch	fläskkött	varkensvlees	porc	cerdo	porco	maiale	свинина	wieprzowina	χοιρινό	choirinó	sertés	sianliha	猪肉	돼지고기	豚肉	thịt lợn	猪肉	zyu1 juk6	猪肉	ti1-bah4	لحم خنزير	lahm khinzir	सूअर का मांस	sooar ka maans	muiceoil	mwick-yo-il	cig moch	гахайн мах	domuz eti	چوشقا گۆشى	choshqa göshi	เนื้อหมู	núea mǔu 	nyama ya nguruwe	daging babi	bisóodi bitsįʼ	bee-so-dee bee-tseen
beef	Rindfleisch	nötkött	rundvlees	bœuf	ternera	carne bovina	manzo	говядина	wołowina	μοσχάρι	moschári	marha	nauta	牛肉	소고기	牛肉	thịt bò	牛肉	ngau4 juk6	牛肉	gu5-bah4	لحم بقر	lahm baqar	गोमांस	gomaans	mairteoil	mar-tyo-il	cig eidion	үхрийн мах	sığır eti	كالا گۆشى	kala göshi	เนื้อวัว	núea wua 	nyama ya ng'ombe	daging sapi	béégashii bitsįʼ	bay-gah-shee bee-tseen
apple	Apfel	äpple	appel	pomme	manzana	maçã	mela	яблоко	jabłko	μήλο	mílo	alma	omena	苹果	사과	リンゴ	táo	苹果	ping4 gwo2	苹果	pheng5-koo2	تفاحة	tuffaha	सेब	seb	úll	oo-ll	afal	алим	elma	ئالما	alma	แอปเปิ้ล	áep-pôen 	tofaa	apel	bilasáana	bee-lah-sah-nah
banana	Banane	banan	banaan	banane	plátano	banana	banana	банан	banan	μπανάνα	banána	banán	banaani	香蕉	바나나	バナナ	chuối	香蕉	hoeng1 ziu1	弓蕉	king1-tsio1	موزة	mawza	केला	kela	banana	banana	banana	гадил	muz	بانان	banan	กล้วย	klûai 	ndizi	pisang	hashkʼaan	hash-kahn
orange	Orange	apelsin	sinaasappel	orange	naranja	laranja	arancia	апельсин	pomarańcza	πορτοκάλι	portokáli	narancs	appelsiini	橙子	오렌지	オレンジ	cam	橙	caang2	柳丁	liu2-ting1	برتقالة	burtuqala	संतरा	santara	oráiste	or-awsh-tyeh	oren	жүрж	portakal	ئاپېلسىن	apélsin	ส้ม	sôm 	chungwa	jeruk	chʼil łitsooí	chil tlee-tsoo-ee
lemon	Zitrone	citron	citroen	citron	limón	limão	limone	лимон	cytryna	λεμόνι	lemóni	citrom	sitruuna	柠檬	레몬	レモン	chanh	柠檬	ning4 mung1	柠檬	le5-bang5	ليمون	laymun	नींबू	neemboo	líomóid	lee-mo-ij	lemwn	нимбэг	limon	لىمون	limon	มะนาว	má-nāao 	limau	lemon	chʼil łitsooí díkʼǫ́zhígíí	chil tlee-tsoo-ee dee-kon-zhee-gee
corn	Mais	majs	maïs	maïs	maíz	milho	mais	кукуруза	kukurydza	καλαμπόκι	kalampóki	kukorica	maissi	玉米	옥수수	豆	ngô	粟米	suk1 mai5	番麦	huan1-beh8	ذرة	dhura	मक्का	makka	arbhar	ar-war	ŷd	эрдэнэ шиш	mısır	كۆممىقوناق	kömmiqonaq	ข้าวโพด	khâao phôot 	mahindi	jagung	naadą́ą́ʼ	nah-dahn
rice	Reis	ris	rijst	riz	arroz	arroz	riso	рис	ryż	ρύζι	rýzi	rizs	riisi	米饭	밥	ご饭	cơm	饭	faan6	饭	pn̄g7	أرز	aruzz	चावल	chaaval	rís	reesh	reis	тутарга	pirinç	گۈرۈچ	gürüch	ข้าว	khâao 	mchele	nasi / beras	alóós	ah-lohs
oil	Öl	olja	olie	huile	aceite	óleo	olio	масло	olej	λάδι	ládi	olaj	öljy	油	기름	油	dầu	油	jau4	油	iu5	زيت	zayt	तेल	tel	ola	ulla	olew	тос	yağ	ماي	may	น้ำมัน	náam mān 	mafuta	minyak	akʼah	ah-kah
seed	Samen	frö	zaad	graine	semilla	semente	seme	семя	nasiono	σπόρος	spóros	mag	siemen	种子	씨앗	种子	hạt	种子	zung2 zi2	种子	tsíng2-tsí2	بذرة	bidhra	बीज	beej	síol	shee-ul	had	үр	tohum	ئۇرۇق	uruq	เมล็ด	má-lèt 	mbegu	biji	kʼeelchí	kayl-chee
sugar	Zucker	socker	suiker	sucre	azúcar	açúcar	zucchero	сахар	cukier	ζάχαρη	záchari	cukor	sokeri	糖	설탕	砂糖	đường	糖	tong4	糖	thng5	سكر	sukkar	चीनी	cheenee	siúcra	shoo-krah	siwgr	элсэн чихэр	şeker	قەنت	qent	น้ำตาล	náam tāan 	sukari	gula	áshįįh łikan	ah-sheen tlee-kahn
salt	Salz	salt	zout	sel	sal	sal	sale	соль	sól	αλάτι	aláti	só	suola	盐	소금	塩	muối	盐	jim4	盐	iam5	ملح	milh	नमक	namak	salann	sal-un	halen	давс	tuz	تۇز	tuz	เกลือ	klūea 	chumvi	garam	áshįįh	ah-sheen
knife	Messer	kniv	mes	couteau	cuchillo	faca	coltello	нож	nóż	μαχαίρι	machaíri	kés	veitsi	刀	칼	刀	dao	刀	dou1	刀	to1	سكين	sikkin	चाकू	chaakoo	scian	shkeen	cyllell	хутга	bıçak	پىچاق	pichaq	มีด	mîit 	kisu	pisau	béésh	baysh
spoon	Löffel	sked	lepel	cuillère	cuchara	colher	cucchiaio	ложка	łyżka	κουτάλι	koutáli	kanál	lusikka	勺子	숟가락	スプーン	thìa	羹	gang1	汤匙	thng1-si5	ملعقة	mil'aqa	चम्मच	chammach	spúnóg	spoon-og	llwy	халбага	kaşık	قوشۇق	qoshuq	ช้อน	cháwn 	kijiko	sendok	adeeʼ	ah-dee
fork	Gabel	gaffel	vork	fourchette	tenedor	garfo	forchetta	вилка	widelec	πιρούνι	piroúni	villa	haarukka	叉子	포크	フォーク	nĩa	叉	caa1	叉仔	tshie1-a2	شوكة	shawka	कांटा	kaanta	forc	furk	fforc	сэрээ	çatal	شورپا	shorpa	ส้อม	sâwm 	uma	garpu	bílaʼ dį́įʼii	bee-lah deen-ee
plate	Teller	tallrik	bord	assiette	plato	prato	piatto	тарелка	talerz	πιάτο	piáto	tányér	lautanen	盘子	접시	皿	đĩa	碟	dip6	盘仔	puann5-a2	صحن	sahn	थाली	thaalee	pláta	plaw-tah	plât	таваг	tabak	تەخسە	texse	จาน	chāan 	sahani	piring	łeetsʼaaʼ	tlee-tsah
cup	Tasse	kopp	kopje	tasse	taza	xícara	tazza	чашка	kubek	φλιτζάνι	flitzáni	csésze	kuppi	杯子	컵	カップ	cốc	杯	bui1	杯仔	pue1-a2	كوب	kub	कप	kap	cupán	kupp-awn	cwpan	аяга	fincan	ئىستاكان	istakan	ถ้วย	thûai 	kikombe	cangkir	bąąh ádį́hí	bah ah-deen-hee
table	Tisch	bord	tafel	table	mesa	mesa	tavolo	стол	stół	τραπέζι	trapézi	asztal	pöytä	桌子	탁자	机	bàn	枱	toi2	桌仔	toh4-a2	طاولة	tawila	मेज़	mez	tábla	taw-blah	bwrdd	ширээ	masa	ئۈستەل	üstel	โต๊ะ	tó 	meza	meja	bikááʼadání	bee-kah-ah-dah-nee
chair	Stuhl	stol	stoel	chaise	silla	cadeira	sedia	стул	krzesło	καρέκλα	karékla	szék	tuoli	椅子	의자	椅子	ghế	凳	dang3	椅仔	i2-a2	كرسي	kursi	कुर्सी	kursee	cathaoir	ka-heer	cadair	сандал	sandalye	ئورۇندۇق	orunduq	เก้าอี้	kâo-îi 	kiti	kursi	bikááʼdahʼasdáhí	bee-kah-dah-as-dah-hee
bed	Bett	säng	bed	lit	cama	cama	letto	кровать	łóżko	κρεβάτι	kreváti	ágy	sänky	床	침대	床	giường	床	cong4	床	bng5	سرير	sarir	बिस्तर	bistar	leaba	lyabba	gwely	ор	yatak	كارىۋات	kariwat	เตียง	tīang 	kitanda	tempat tidur	tsáskʼeh	tsahs-keh
window	Fenster	fönster	raam	fenêtre	ventana	janela	finestra	окно	okno	παράθυρο	paráthyro	ablak	ikkuna	窗户	창문	窓	cửa sổ	窗	coeng1	窗	thang1	نافذة	nafidha	खिड़की	khidkee	fuinneog	fwin-yog	ffenestr	цонх	pencere	دېرىزە	dérize	หน้าต่าง	nâa tàang 	dirisha	jendela	tsésǫʼ	tsay-son
door	Tür	dörr	deur	porte	puerta	porta	porta	дверь	drzwi	πόρτα	pórta	ajtó	ovi	门	문	ドア	cửa	门	mun4	门	mng5	باب	bab	दरवाज़ा	darvaaza	doras	dur-us	drws	хаалга	kapı	ئىشىك	ishik	ประตู	prà-tūu 	mlango	pintu	dáádílkał	dah-deel-kalth
bedroom	Schlafzimmer	sovrum	slaapkamer	chambre	dormitorio	quarto	camera	спальня	sypialnia	υπνοδωμάτιο	ypnodomátio	hálószoba	makuuhuone	卧室	침실	寝室	phòng ngủ	睡房	seoi6 fong2	眠床间	bin5-bng5-king1	غرفة نوم	ghurfat nawm	सोने का कमरा	sone ka kamra	seomra codlata	shyum-ra kodd-lata	llofft	унтлагын өрөө	yatak odası	ياتاق ئۆي	yataq öy	ห้องนอน	hông nawn 	chumba cha kulala	kamar tidur	góneʼ iłhoshígíí	go-nay eel-hosh-ee-gee
kitchen	Küche	kök	keuken	cuisine	cocina	cozinha	cucina	кухня	kuchnia	κουζίνα	kouzína	konyha	keittiö	厨房	주방	台所	nhà bếp	厨房	cyu4 fong2	灶脚	tsau3-kha1	مطبخ	matbakh	रसोई	rasoee	cistin	kish-tin	cegin	гал тогоо	mutfak	ئاشخانا	ashxana	ห้องครัว	hông khrua 	jiko	dapur	chʼiyáán álʼį́į́ góneʼ	ch-yah-ahn ahl-ee go-nay
bathroom	Badezimmer	badrum	badkamer	salle de bain	baño	banheiro	bagno	ванная	łazienka	μπάνιο	bánio	fürdőszoba	kylpyhuone	浴室	욕실	浴室	nhà vệ sinh	洗手间	sai2 sau2 gaan1	浴间	ik8-king1	حمام	hammam	स्नानघर	snaanaghar	seomra folctha	shyum-ra fulk-ha	ystafell ymolchi	угаалгын өрөө	banyo	ھاجەتخانا	hajetxana	ห้องน้ำ	hông náam 	bafuni	kamar mandi	chąąʼ bá hooghan	chahn bah hoo-ghan
soap	Seife	tvål	zeep	savon	jabón	sabão	sapone	мыло	mydło	σαπούνι	sapoúni	szappan	saippua	肥皂	비누	石鹸	xà phòng	碱液	gaan2 jek6	撇石	phiat8-tsioh8	صابون	sabun	साबुन	saabun	gallúnach	gall-oon-akh	sebon	саван	sabun	سوپۇن	sopun	สบู่	sà-bùu 	sabuni	sabun	tálághosh	tah-lah-ghosh
book	Buch	bok	boek	livre	libro	livro	libro	книга	książka	βιβλίο	vivlío	könyv	kirja	书	책	本	sách	书	syu1	书	tsu1	كتاب	kitab	किताब	kitaab	leabhar	lyow-er	llyfr	ном	kitap	كىتاب	kitab	หนังสือ	nǎng-sǔue 	kitabu	buku	naaltsoos	nahl-tsohs
key	Schlüssel	nyckel	sleutel	clé	llave	chave	chiave	ключ	klucz	κλειδί	kleidí	kulcs	avain	钥匙	열쇠	键	chìa khóa	匙羹	si4 gang1	锁匙	soo2-si5	مفتاح	miftah	चाबी	chaabee	eochair	ukh-ir	allwedd / goriad	түлхүүр	anahtar	ئاچقۇچ	achquch	กุญแจ	kun-chāe 	ufunguo	kunci	bee ąą ádaʼdoolníłí	bay ah-ah ah-dah-dool-nee-lee
wall	Wand	vägg	muur	mur	pared	parede	muro	стена	ściana	τοίχος	toíchos	fal	seinä	墙	벽	壁	tường	墙	coeng4	墙	tshinn5	جدار	jidar	दीवार	deevaar	balla	balla	wal	хана	duvar	تام	tam	ผนัง	phà-nǎng 	ukuta	dinding	bináʼázʼá	bee-nah-az-ah
paper	Papier	papper	papier	papier	papel	papel	carta	бумага	papier	χαρτί	chartí	papír	paperi	纸	종이	纸	giấy	纸	zi2	纸	tsua2	ورق	waraq	कागज़	kaagaz	páipéar	paw-pyay-ur	papur	цаас	kağıt	قەغەز	qeghez	กระดาษ	krà-dàat 	karatasi	kertas	naaltsoos	nahl-tsohs
floor	Boden	golv	vloer	sol	suelo	chão	pavimento	пол	podłoga	πάτωμα	pátoma	padló	lattia	地板	바닥	床	sàn nhà	地板	dei6 baan2	土脚	thoo5-kha1	أرضية	ardiya	फ़र्श	farsh	urlár	oor-lawr	llawr	шал	yer / zemin	پول	pol	พื้น	phúen 	sakafu	lantai	łeezh	tlee-zh
ceiling	Decke	tak	plafond	plafond	techo	teto	soffitto	потолок	sufit	ταβάνι	taváni	mennyezet	katto	天花板	천장	天井	trần nhà	天花板	tin1 faa1 baan2	天蓬	thian1-phong5	سقف	saqf	छत	chhat	síleáil	sheel-aw-il	nenfwd	тааз	tavan	تورۇس	torus	เพดาน	phēe-dāan 	dari	langit-langit	yá	yah
roof	Dach	tak (yttertak)	dak	toit	tejado	telhado	tetto	крыша	dach	στέγη	stégi	tető	katto	屋顶	지붕	屋根	mái nhà	屋顶	ok1 ding2	屋顶	ok4-teng2	سطح	sath	छत	chhat	díon	jee-un	to	дээвэр	çatı	ئۆگزە	ögze	หลังคา	lǎng-khāa 	paa	atap	hooghan bikááʼ	hoo-ghan bee-kah
lock	Schloss	nyckel	slot	serrure	cerradura	fechadura	serratura	замок	zamek	κλειδαριά	kleidariá	zár	lukko	锁	자물쇠	锁	khóa	锁	so2	锁	soo2	قفل	qufl	ताला	taala	glas	gloss	clo	цоож	kilit	قۇلۇپ	qulup	โทรศัพท์	thō-rá-sàp 	kufuli	kunci (gembok)	bee dáʼádíníbalí	bay dah-ah-dee-nee-bah-lee
telephone	Telefon	telefon	telefoon	téléphone	teléfono	telefone	telefono	телефон	telefon	τηλέφωνο	tiléfono	telefon	puhelin	电话	전화	电话	điện thoại	电话	din6 waa2	电话	tian7-ue7	هاتف	hatif	टेलीफ़ोन	telephone	teileafón	tel-a-fone	ffôn	утас	telefon	تېلېفون	téléfon	รถไฟ	rót fāi 	simu	telepon	béésh biiʼ haneʼé	baysh bee hah-nay-ay
train	Zug	tåg	trein	train	tren	trem	treno	поезд	pociąg	τρένο	tréno	vonat	juna	火车	기차	烈车	tàu hỏa	火车	fo2 ce1	火车	hue2-tshia1	قطار	qitar	रेलगाड़ी	relgaadee	traein	tray-in	trên	галт тэрэг	tren	پويىز	poyiz	เครื่องบิน	khrûeang bīn 	treni	kereta api	kǫʼ naʼałbąąsii	kon nah-ahl-bahn-see
airplane	Flugzeug	flygplan	vliegtuig	avion	avión	avião	aereo	самолёт	samolot	αεροπλάνο	aeropláno	repülőgép	lentokone	飞机	비행기	飞行机	máy bay	飞机	fei1 gei1	飞行机	hue1-ling5-ki1	طائرة	ta'ira	हवाई जहाज़	havaee jahaaz	eitleán	et-lyawn	awyren	нисэх онгоц	uçak	ئايروپىلان	ayropilan	รถยนต์	rót yōn 	ndege	pesawat	chidí naatʼaʼí	chi-dee nah-tah-ee
car	Auto	bil	auto	voiture	coche	carro	auto	машина	samochód	αυτοκίνητο	aftokínito	autó	auto	汽车	자동차	自动车	ô tô	车	ce1	汽车	khi3-tshia1	سيارة	sayyara	कार	car	carr	kar	car	машин	araba	ماشىنا	mashina	รถบรรทุก	rót bān-thúk 	gari	mobil	chidí	chi-dee
truck	LKW	lastbil	vrachtwagen	camion	camión	caminhão	camion	грузовик	ciężarówka	φορτηγό	fortigó	teherautó	kuorma-auto	卡车	트럭	トラック	xe tải	货车	fo3 ce1	卡车	kha1-tshia1	شاحنة	shahina	ट्रक	truck	trucail	truk-il	lori	ачааны машин	kamyon	يۈك ماشىنىسى	yük mashinisi	จักรยาน	chàk-krà-yāan 	lori	truk	chidí tsoh	chi-dee tsoh
bicycle	Fahrrad	cykel	fiets	vélo	bicicleta	bicicleta	bicicletta	велосипед	rower	ποδήλατο	podílato	kerékpár	polkupyörä	自行车	자전거	自転车	xe đạp	单车	daan1 ce1	自行车	tsu7-hing5-tshia1	دراجة	darraja	साइकिल	saikil	rothar	ruh-har	beic	унадаг дугуй	bisiklet	ۋېلىسىپىت	wélisipit	รถเมล์	rót mēe 	baiskeli	sepeda	dziʼizí	dzee-ee-zee
bus	Bus	buss	bus	bus	autobús	ônibus	autobus	автобус	autobus	λεωφορείο	leoforeío	busz	bussi	公共汽车	버스	バス	xe buýt	巴士	baa1 si2	巴士	pa1-su7	حافلة	hafila	बस	bus	bus	buss	bws	автобус	otobüs	ئاپتوبۇس	aptobus	เรือ	rūea 	basi	bus	chidí diné bee naatʼaʼí	chi-dee di-nay bay nah-tah-ee
boat	Boot	båt	boot	bateau	barco	barco	barca	лодка	łódź	βάρκα	várka	hajó	vene	船	배	船	thuyền	船	syun4	船	tsun5	قارب	qarib	नाव	naav	bád	bawd	cwch	завь	tekne	كېمە	kéme	ตั๋ว	tǔa 	boti	perahu	tsin naaʼeełí	tsin nah-ay-lee
